node_code,node_name,proxy_industry,review_note
X300305,线缆部件及其他,Electrical Equipment,XBSE限定分析代理：同一标准快照中沪深双来源共现32/37家；采用全球Electrical Equipment作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X300403,光伏电池组件,,暂不映射：沪深双来源共现样本19家，最高一致项Semiconductor=12家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X300405,光伏辅材,,暂不映射：沪深双来源共现样本20家，最高一致项Semiconductor Equip=5家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X300406,光伏加工设备,Semiconductor Equip,XBSE限定分析代理：同一标准快照中沪深双来源共现9/11家；采用全球Semiconductor Equip作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X300502,风电零部件,,暂不映射：沪深双来源共现样本26家，最高一致项Electrical Equipment=11家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X3006,其他发电设备,,暂不映射：沪深双来源共现样本22家，最高一致项Electrical Equipment=17家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X3102,航空装备,,暂不映射：沪深双来源共现样本40家，最高一致项Aerospace/Defense=31家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X3105,军工电子,,暂不映射：沪深双来源共现样本56家，最高一致项Aerospace/Defense=17家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X3201,轨交设备,,暂不映射：沪深双来源共现样本29家，最高一致项Construction Supplies=17家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320201,仪器仪表,Electronics (General),XBSE限定分析代理：同一标准快照中沪深双来源共现41/50家；采用全球Electronics (General)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X320202,机床制造,Machinery,XBSE限定分析代理：同一标准快照中沪深双来源共现19/20家；采用全球Machinery作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X320203,机械基础件,Machinery,XBSE限定分析代理：同一标准快照中沪深双来源共现43/49家；采用全球Machinery作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X320204,金属制品,,暂不映射：沪深双来源共现样本36家，最高一致项Machinery=20家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320206,制冷空调设备,Machinery,XBSE限定分析代理：同一标准快照中沪深双来源共现13/15家；采用全球Machinery作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X320207,磨具磨料,,暂不映射：沪深双来源共现样本10家，最高一致项Machinery=4家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320299,其他通用设备,,暂不映射：沪深双来源共现样本36家，最高一致项Machinery=21家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320301,能源及重型设备,,暂不映射：沪深双来源共现样本44家，最高一致项Machinery=17家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320302,印刷包装机械,Machinery,XBSE限定分析代理：同一标准快照中沪深双来源共现11/12家；采用全球Machinery作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X320303,纺织服装设备,Machinery,XBSE限定分析代理：同一标准快照中沪深双来源共现10/11家；采用全球Machinery作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X320304,农用机械,,暂不映射：沪深双来源共现样本8家，最高一致项Farming/Agriculture=4家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320399,其他专用设备,,暂不映射：沪深双来源共现样本117家，最高一致项Machinery=83家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320401,工程机械整机,Construction Supplies,XBSE限定分析代理：同一标准快照中沪深双来源共现15/16家；采用全球Construction Supplies作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X320402,工程机械零件,,暂不映射：沪深双来源共现样本9家，最高一致项Machinery=4家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320501,机器人,Machinery,XBSE限定分析代理：同一标准快照中沪深双来源共现11/12家；采用全球Machinery作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X320502,工业控制设备,,暂不映射：沪深双来源共现样本36家，最高一致项Electronics (General)=14家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X320599,其他自动化设备,,暂不映射：沪深双来源共现样本6家，最高一致项Machinery=2家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X400101,半导体材料,,暂不映射：沪深双来源共现样本27家，最高一致项Semiconductor Equip=13家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X400103,集成电路设计,Semiconductor,XBSE限定分析代理：同一标准快照中沪深双来源共现80/88家；采用全球Semiconductor作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X400106,半导体封测,Semiconductor,XBSE限定分析代理：同一标准快照中沪深双来源共现12/13家；采用全球Semiconductor作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X400201,消费电子组件,,暂不映射：沪深双来源共现样本82家，最高一致项Electronics (General)=46家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X400202,品牌消费电子,,暂不映射：沪深双来源共现样本10家，最高一致项Electronics (General)=5家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X400302,光学元件,Electronics (General),XBSE限定分析代理：同一标准快照中沪深双来源共现32/37家；采用全球Electronics (General)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X400303,LED,,暂不映射：沪深双来源共现样本40家，最高一致项Electrical Equipment=17家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X400401,PCB,Electronics (General),XBSE限定分析代理：同一标准快照中沪深双来源共现41/44家；采用全球Electronics (General)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X400402,被动元件,Electronics (General),XBSE限定分析代理：同一标准快照中沪深双来源共现12/15家；采用全球Electronics (General)作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X4005,其他电子,,暂不映射：沪深双来源共现样本41家，最高一致项Electronics (General)=16家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X4006,电子化学品,,暂不映射：沪深双来源共现样本36家，最高一致项Chemical (Specialty)=19家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X410102,网络接配及塔设,,暂不映射：沪深双来源共现样本24家，最高一致项Telecom. Equipment=13家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X410104,通信终端及配件,,暂不映射：沪深双来源共现样本23家，最高一致项Telecom. Equipment=15家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X410105,其他通信设备,,暂不映射：沪深双来源共现样本23家，最高一致项Telecom. Equipment=18家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X410302,网络工程施工,,暂不映射：沪深双来源共现样本5家，最高一致项Computer Services=2家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X420101,安防设备,,暂不映射：沪深双来源共现样本16家，最高一致项Electronics (General)=9家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X420102,其他IT设备,,暂不映射：沪深双来源共现样本44家，最高一致项Electronics (General)=15家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X420202,行业应用软件,,暂不映射：沪深双来源共现样本184家，最高一致项Software (System & Application)=81家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X420303,云软件服务,,暂不映射：沪深双来源共现样本8家，最高一致项Software (System & Application)=6家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X4307,广播电视,,暂不映射：沪深双来源共现样本12家，最高一致项Cable TV=8家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X520302,钢结构,,暂不映射：沪深双来源共现样本10家，最高一致项Engineering/Construction=5家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X520304,其他专业工程,Engineering/Construction,XBSE限定分析代理：同一标准快照中沪深双来源共现13/16家；采用全球Engineering/Construction作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X5204,工程咨询服务,,暂不映射：沪深双来源共现样本38家，最高一致项Business & Consumer Services=22家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X600602,检测服务,,暂不映射：沪深双来源共现样本21家，最高一致项Business & Consumer Services=15家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X600604,其他专业服务,,暂不映射：沪深双来源共现样本5家，最高一致项Electronics (General)=1家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X610302,航运,Shipbuilding & Marine,XBSE限定分析代理：同一标准快照中沪深双来源共现12/15家；采用全球Shipbuilding & Marine作为Beta、目标D/E与资本效率代理。5家及80%是显式准入政策，不是置信度或北交所业务权重；不证明同口径，未调整规模、组合与周期。
X610401,供应链服务,,暂不映射：沪深双来源共现样本23家，最高一致项Transportation=12家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X6202,燃气,,暂不映射：沪深双来源共现样本28家，最高一致项Power=19家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X6301,环保设备,,暂不映射：沪深双来源共现样本25家，最高一致项Machinery=14家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X630201,大气治理,,暂不映射：沪深双来源共现样本7家，最高一致项Environmental & Waste Services=2家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
X630203,固废治理,,暂不映射：沪深双来源共现样本36家，最高一致项Environmental & Waste Services=24家；不足5家/80%或代理未准入。保留公司原行业，不猜全球分类。
